,id,proto,srcip,dstip,srcport,dstport,payload_size,shannon,bien,tbien
79,HAtV5XsBbrWx0LVulpQ8,tcp,127.0.0.1,127.0.0.1,1134,8088,32,3.08413909875003,0.060201742276383,0.9644478446440728
0,aQtV5XsBbrWx0LVulpMy,tcp,127.0.0.1,127.0.0.1,1134,8088,32,3.115680239655311,0.4571371925088739,0.9760301557260752
48,fQtV5XsBbrWx0LVulpMy,tcp,127.0.0.1,127.0.0.1,1134,8088,32,3.236000973489601,0.1182349449643708,0.966399548915561
27,ZQtV5XsBbrWx0LVulpMy,tcp,127.0.0.1,127.0.0.1,1134,8088,32,2.9140603629749906,0.9527866730473764,0.97383655068744
24,iQtV5XsBbrWx0LVulpMy,tcp,127.0.0.1,127.0.0.1,1134,8088,32,3.087849509909819,0.9441118096284068,0.9724577212374234
22,gQtV5XsBbrWx0LVulpMy,tcp,127.0.0.1,127.0.0.1,1134,8088,32,3.108857161361118,0.9260084066075012,0.9741552568097136
12,eQtV5XsBbrWx0LVulpMy,tcp,127.0.0.1,127.0.0.1,1134,8088,32,3.058113188330644,0.9512229751030928,0.9801963887599136
11,dQtV5XsBbrWx0LVulpMy,tcp,127.0.0.1,127.0.0.1,1134,8088,32,2.923872069467395,0.0038049501432092,0.9422613152272568
9,cQtV5XsBbrWx0LVulpMy,tcp,127.0.0.1,127.0.0.1,1134,8088,32,2.784569673437677,0.9452862882326788,0.9787214621043636
2,bQtV5XsBbrWx0LVulpMy,tcp,127.0.0.1,127.0.0.1,1134,8088,32,3.216774962393757,0.4593001178752151,0.976747912382781
55,hQtV5XsBbrWx0LVulpMy,tcp,127.0.0.1,127.0.0.1,1134,8088,32,2.8226808231510647,0.2428637923328695,0.97220804189106
57,8AtV5XsBbrWx0LVulpM8,tcp,127.0.0.1,127.0.0.1,1134,8088,32,3.137602106187965,0.935410357156087,0.983850192373808
75,FAtV5XsBbrWx0LVulpQ8,tcp,127.0.0.1,127.0.0.1,1134,8088,32,3.2791241180377275,0.2419442486457523,0.9734109131067092
73,EAtV5XsBbrWx0LVulpQ8,tcp,127.0.0.1,127.0.0.1,1134,8088,32,3.0847261346068,0.4756072320939199,0.9750032374432692
71,DAtV5XsBbrWx0LVulpQ8,tcp,127.0.0.1,127.0.0.1,1134,8088,32,3.141061671496928,0.950657787803926,0.9762076839725335
77,GAtV5XsBbrWx0LVulpQ8,tcp,127.0.0.1,127.0.0.1,1134,8088,32,2.9001848351950863,0.9504975948766938,0.980537859785219
67,BAtV5XsBbrWx0LVulpQ8,tcp,127.0.0.1,127.0.0.1,1134,8088,32,3.2419494967204967,0.461539920270659,0.9728799735699164
65,AAtV5XsBbrWx0LVulpQ8,tcp,127.0.0.1,127.0.0.1,1134,8088,32,3.221026214098615,0.244157222123538,0.9718899655118968
63,_AtV5XsBbrWx0LVulpM8,tcp,127.0.0.1,127.0.0.1,1134,8088,32,3.1589755511110447,0.4497416119802895,0.9717109403775308
61,-AtV5XsBbrWx0LVulpM8,tcp,127.0.0.1,127.0.0.1,1134,8088,32,3.290777010964089,0.9452965912598316,0.9786276904473348
59,9AtV5XsBbrWx0LVulpM8,tcp,127.0.0.1,127.0.0.1,1134,8088,32,2.8536581784968447,0.2440804602412065,0.9642728744135654
69,CAtV5XsBbrWx0LVulpQ8,tcp,127.0.0.1,127.0.0.1,1134,8088,34,3.079003232391141,0.4586069511960268,0.9705890589516388
